STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DD_ID,Local area code,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Age,AGE,Sex,TERRITORIAL_LEVEL,Territorial level,TERRITORIAL_TYPE,Territorial type,DD_DIM,Drilldown,TIME_PERIOD,Time period,OBS_VALUE,Observation value,FREQ,Frequency of observation,OBS_STATUS,Observation status,DECIMALS,Decimals,LOCAL_AREA_NAME,Local area name
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US27,Minnesota,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,78,,A,Annual,A,Normal value,0,Zero,US27,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE5,Bremen,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,69,,A,Annual,A,Normal value,0,Zero,DE5,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE2,Bavaria,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,79,,A,Annual,A,Normal value,0,Zero,DE2,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US27,Minnesota,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,79,,A,Annual,A,Normal value,0,Zero,US27,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE5,Bremen,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,70,,A,Annual,A,Normal value,0,Zero,DE5,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DK01,Capital region,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,83,,A,Annual,A,Normal value,0,Zero,DK01,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE2,Bavaria,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,79,,A,Annual,A,Normal value,0,Zero,DE2,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE5,Bremen,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,71,,A,Annual,A,Normal value,0,Zero,DE5,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DK01,Capital region,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,82,,A,Annual,A,Normal value,0,Zero,DK01,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US38,North Dakota,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,80,,A,Annual,A,Normal value,0,Zero,US38,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,ITH2,Autonomous prov. Trento,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,68,,A,Annual,A,Normal value,0,Zero,ITH2,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,AU5,Western Australia,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,75,,A,Annual,A,Normal value,0,Zero,AU5,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US23,Maine,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,75,,A,Annual,A,Normal value,0,Zero,US23,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US23,Maine,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,73,,A,Annual,A,Normal value,0,Zero,US23,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US38,North Dakota,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,77,,A,Annual,A,Normal value,0,Zero,US38,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US23,Maine,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,75,,A,Annual,A,Normal value,0,Zero,US23,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US25,Massachusetts,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,76,,A,Annual,A,Normal value,0,Zero,US25,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US38,North Dakota,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,79,,A,Annual,A,Normal value,0,Zero,US38,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DEF,Schleswig-Holstein,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,74,,A,Annual,A,Normal value,0,Zero,DEF,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,ITI3,Marche,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,65,,A,Annual,A,Normal value,0,Zero,ITI3,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,ITI3,Marche,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,63,,A,Annual,A,Normal value,0,Zero,ITI3,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FI1D,Northern and Eastern Finland,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,70,,A,Annual,A,Normal value,0,Zero,FI1D,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US25,Massachusetts,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,73,,A,Annual,A,Normal value,0,Zero,US25,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US18,Indiana,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,73,,A,Annual,A,Normal value,0,Zero,US18,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,SE31,North Middle Sweden,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,77,,A,Annual,A,Normal value,0,Zero,SE31,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE4,Brandenburg,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,79,,A,Annual,A,Normal value,0,Zero,DE4,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DK01,Capital region,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,83,,A,Annual,A,Normal value,0,Zero,DK01,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,SE31,North Middle Sweden,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,75,,A,Annual,A,Normal value,0,Zero,SE31,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE2,Bavaria,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,81,,A,Annual,A,Normal value,0,Zero,DE2,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DK01,Capital region,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,85,,A,Annual,A,Normal value,0,Zero,DK01,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE4,Brandenburg,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,78,,A,Annual,A,Normal value,0,Zero,DE4,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DK04,Central Denmark,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,75,,A,Annual,A,Normal value,0,Zero,DK04,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,CZ06,Southeast,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,74,,A,Annual,A,Normal value,0,Zero,CZ06,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FI1D,Northern and Eastern Finland,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,70,,A,Annual,A,Normal value,0,Zero,FI1D,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE4,Brandenburg,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,78,,A,Annual,A,Normal value,0,Zero,DE4,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DEF,Schleswig-Holstein,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,73,,A,Annual,A,Normal value,0,Zero,DEF,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FRY1,Guadeloupe,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,51,,A,Annual,A,Normal value,0,Zero,FRY1,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DEF,Schleswig-Holstein,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,73,,A,Annual,A,Normal value,0,Zero,DEF,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US11,District of Columbia,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,74,,A,Annual,A,Normal value,0,Zero,US11,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FRY1,Guadeloupe,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2020,,51,,A,Annual,A,Normal value,0,Zero,FRY1,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DE4,Brandenburg,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,79,,A,Annual,A,Normal value,0,Zero,DE4,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FI1D,Northern and Eastern Finland,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,71,,A,Annual,A,Normal value,0,Zero,FI1D,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,SE31,North Middle Sweden,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,75,,A,Annual,A,Normal value,0,Zero,SE31,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US49,Utah,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,76,,A,Annual,A,Normal value,0,Zero,US49,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,DEF,Schleswig-Holstein,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,75,,A,Annual,A,Normal value,0,Zero,DEF,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US25,Massachusetts,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,75,,A,Annual,A,Normal value,0,Zero,US25,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,ITF6,Calabria,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,46,,A,Annual,A,Normal value,0,Zero,ITF6,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,ITH2,Autonomous prov. Trento,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,67,,A,Annual,A,Normal value,0,Zero,ITH2,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FI1D,Northern and Eastern Finland,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2022,,72,,A,Annual,A,Normal value,0,Zero,FI1D,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FRY1,Guadeloupe,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,53,,A,Annual,A,Normal value,0,Zero,FRY1,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,US49,Utah,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,74,,A,Annual,A,Normal value,0,Zero,US49,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FRH,Brittany,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,67,,A,Annual,A,Normal value,0,Zero,FRH,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,FI1C,Southern Finland,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2019,,72,,A,Annual,A,Normal value,0,Zero,FI1C,
DATAFLOW,OECD.CFE.EDS:DSD_LA_LABOUR_DDOWN@DF_EMPLOYMENT_DDOWN(1.0),Employment by age group and sex - Local Areas,I,_T,,EL62,Ionian Islands,EMP_RATIO,Employment to population ratio,PT_POP_AGE,Percentage of population in the same age,_T,Total,Y15T64,From 15 to 64 years,TL2,TL2,_Z,Not applicable,_T,Total,2021,,58,,A,Annual,A,Normal value,0,Zero,EL62,
